Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
39,2.0,0.0,0.0,1054.0,9.0,293.0,4730.0,0.1,275.17499999999967,0.0,0.0,1104.3043086528778,,,,,,,,,,,,,,,,,,,,,121.25342371269095,71.6289460850733,240.12776224891743,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,0.0,0.0,1329.0,10.0,275.0,5005.0,0.1,264.5439999999999,0.0,0.0,1131.8325974941254,,,,,,,,,,,,,,,,,,,,,118.2506876005123,69.33403182011175,232.48980803612358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,1534.0,11.0,205.0,5210.0,0.1,186.26500000000007,0.0,0.0,1152.6335847377777,,,,,,,,,,,,,,,,,,,,,83.45614637065314,49.79531661924168,169.4953111209471,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,1768.0,12.0,234.0,5444.0,0.1,228.09400000000002,0.0,0.0,1176.2908866405487,,,,,,,,,,,,,,,,,,,,,104.53207611852724,60.41406170985076,204.04137289267734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,1965.0,13.0,197.0,5641.0,0.1,178.17600000000007,0.0,0.0,1196.0358135700226,,,,,,,,,,,,,,,,,,,,,79.83344638874414,49.32374705931973,162.77419668058207,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,2159.0,14.0,194.0,5835.0,0.1,181.72400000000005,0.0,0.0,1215.2935647964478,,,,,,,,,,,,,,,,,,,,,81.73538539609788,50.53337632251317,166.1995681699289,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,2209.0,15.0,50.0,5885.0,0.1,38.456,0.0,0.0,1220.439363002777,,,,,,,,,,,,,,,,,,,,,16.87238183158265,11.811594730616287,37.68771865801824,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3.0,0.0,0.0,153.0,1.0,153.0,6038.0,0.1,148.09300000000002,0.0,0.0,1621.7007331848145,,,,,,,,,,,,,,,,,,,,,69.64279744356523,41.02889082733881,137.71294015851143,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3.0,0.0,0.0,263.0,2.0,110.0,6148.0,0.1,104.09400000000002,0.0,0.0,1633.2635266780853,,,,,,,,,,,,,,,,,,,,,48.95832347838457,30.05100055695571,98.90629810729423,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3.0,0.0,0.0,331.0,3.0,68.0,6216.0,0.1,62.093999999999994,0.0,0.0,1640.530483007431,,,,,,,,,,,,,,,,,,,,,29.11475808265439,18.814365257022885,60.234605426627326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3.0,0.0,0.0,718.0,4.0,387.0,6603.0,0.1,375.36699999999973,0.0,0.0,1679.7119517326355,,,,,,,,,,,,,,,,,,,,,162.62132184024037,93.05258747747955,313.0583520936622,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.0,0.0,0.0,802.0,5.0,84.0,6687.0,0.1,78.09400000000002,0.0,0.0,1688.376755952835,,,,,,,,,,,,,,,,,,,,,36.733780898896796,23.160783601668147,75.15860445479782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.0,0.0,0.0,830.0,6.0,28.0,6715.0,0.1,18.18700000000001,0.0,0.0,1691.448839187622,,,,,,,,,,,,,,,,,,,,,6.846141185970681,6.429953026375149,18.031352720881863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.0,0.0,0.0,864.0,7.0,34.0,6749.0,0.1,28.094000000000005,0.0,0.0,1695.2283356189728,,,,,,,,,,,,,,,,,,,,,12.728130787447917,9.222372463780896,27.71664913484734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3.0,0.0,0.0,1264.0,8.0,400.0,7149.0,0.1,384.90499999999975,0.0,0.0,1735.0209341049194,,,,,,,,,,,,,,,,,,,,,168.44658043138398,92.46461278526095,318.1623744138996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,0.0,0.0,1311.0,9.0,47.0,7196.0,0.1,36.18799999999999,0.0,0.0,1739.9280862808228,,,,,,,,,,,,,,,,,,,,,14.910204462780966,12.064762434862939,35.558301434817494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.0,0.0,0.0,1359.0,10.0,48.0,7244.0,0.1,42.093999999999994,0.0,0.0,1745.031717300415,,,,,,,,,,,,,,,,,,,,,19.498927917793758,13.24486421152857,41.24049120185842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.0,0.0,0.0,1412.0,11.0,53.0,7297.0,0.1,47.093999999999994,0.0,0.0,1750.7084176540375,,,,,,,,,,,,,,,,,,,,,21.911182324396282,14.653694452899378,46.0247107335634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3.0,0.0,0.0,1547.0,12.0,135.0,7432.0,0.1,128.09500000000003,0.0,0.0,1764.16570353508,,,,,,,,,,,,,,,,,,,,,59.62161487682176,36.46973766789042,120.28653477464364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.0,0.0,0.0,1818.0,13.0,271.0,7703.0,0.1,262.27499999999986,0.0,0.0,1792.1159238815308,,,,,,,,,,,,,,,,,,,,,118.11041976631695,68.47776087032238,230.72830211926473,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3.0,0.0,0.0,2126.0,14.0,308.0,8011.0,0.1,284.7579999999996,0.0,0.0,1823.4490325450897,,,,,,,,,,,,,,,,,,,,,122.99239952114105,74.6259797622764,247.37083524714782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.0,0.0,0.0,2402.0,15.0,276.0,8287.0,0.1,256.0879999999999,0.0,0.0,1851.5306005477905,,,,,,,,,,,,,,,,,,,,,113.45806868501197,66.45636791783473,225.22379540996147,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4.0,0.0,0.0,260.0,1.0,260.0,8547.0,0.1,245.28100000000006,0.0,0.0,2299.563677549362,,,,,,,,,,,,,,,,,,,,,108.46641946217751,66.03670753795191,217.5145425103122,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4.0,0.0,0.0,462.0,2.0,202.0,8749.0,0.1,196.09400000000002,0.0,0.0,2319.934136867523,,,,,,,,,,,,,,,,,,,,,91.05445365603896,52.56687897581618,178.05693617689795,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4.0,0.0,0.0,639.0,3.0,177.0,8926.0,0.1,159.81800000000004,0.0,0.0,2337.8441162109375,,,,,,,,,,,,,,,,,,,,,76.9188547595159,43.689702173071005,146.49620862861443,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4.0,0.0,0.0,698.0,4.0,59.0,8985.0,0.1,53.093999999999994,0.0,0.0,2344.4527246952057,,,,,,,,,,,,,,,,,,,,,24.799066178190724,16.32902469490381,51.7342719050249,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4.0,0.0,0.0,1066.0,5.0,368.0,9353.0,0.1,353.6369999999999,0.0,0.0,2382.17019367218,,,,,,,,,,,,,,,,,,,,,157.73465448131003,87.66951659086588,296.18271640096356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4.0,0.0,0.0,1475.0,6.0,409.0,9762.0,0.1,391.086,0.0,0.0,2422.9389317035675,,,,,,,,,,,,,,,,,,,,,174.57982340210555,92.49474354145406,320.3231782618842,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4.0,0.0,0.0,1602.0,7.0,127.0,9889.0,0.1,121.00500000000002,0.0,0.0,2435.707431077957,,,,,,,,,,,,,,,,,,,,,56.76246870100226,34.44880873411731,114.02410065217647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4.0,0.0,0.0,1712.0,8.0,110.0,9999.0,0.1,98.63400000000004,0.0,0.0,2447.19198679924,,,,,,,,,,,,,,,,,,,,,44.61617765372021,28.911764571841303,93.91395445304246,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4.0,0.0,0.0,1807.0,9.0,95.0,10094.0,0.1,78.46100000000007,0.0,0.0,2456.9587292671204,,,,,,,,,,,,,,,,,,,,,34.03971955980864,23.208486408213478,75.37790707806722,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4.0,0.0,0.0,1848.0,10.0,41.0,10135.0,0.1,28.635000000000005,0.0,0.0,2461.2395129203796,,,,,,,,,,,,,,,,,,,,,10.99068658313997,9.770662270779646,28.24083527981562,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4.0,0.0,0.0,1893.0,11.0,45.0,10180.0,0.1,39.093999999999994,0.0,0.0,2466.2285153865814,,,,,,,,,,,,,,,,,,,,,18.049511692616736,12.39337211433006,38.35845051641456,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4.0,0.0,0.0,1923.0,12.0,30.0,10210.0,0.1,23.095000000000006,0.0,0.0,2469.815144777298,,,,,,,,,,,,,,,,,,,,,9.969130810808645,7.839022495849122,22.841586406903144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4.0,0.0,0.0,2288.0,13.0,365.0,10575.0,0.1,344.99899999999985,0.0,0.0,2507.0438225269318,,,,,,,,,,,,,,,,,,,,,154.76717408867418,84.7594635497158,289.08686610297383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4.0,0.0,0.0,2521.0,14.0,233.0,10808.0,0.1,219.81400000000005,0.0,0.0,2530.9111375808716,,,,,,,,,,,,,,,,,,,,,102.53252812753395,58.15386421448929,196.3163573446168,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
